Numéro de projet,Code d'activité,Pourcentage de profit,Dépense à venir,Facturé à date
0000006016,00000,0.00,0.00,1700.00
0000006017,00000,0.00,0.00,21587.00
0000006017,06100,888.94,0.00,0.00
0000006018,00000,0.00,0.00,2350.02
0000006019,00000,0.00,0.00,1065.00
0000006020,00000,0.00,0.00,2482.65
0000006021,00000,0.00,0.00,60436.11
0000006021,25001,0.00,0.00,23006.50
0000006022,00000,0.00,0.00,11599.84
0000006022,03360,96.01,0.00,0.00
0000006023,00000,0.00,0.00,3252.00
0000006023,06100,97.20,0.00,0.00
0000006024,00000,0.00,0.00,9413.67
0000006025,00000,0.00,0.00,1710.00
0000006026,06100,171.37,0.00,1171.37
0000006026,06101,0.00,0.00,56978.88
0000006026,08500,0.00,0.00,20578.95
0000006026,14400,0.00,0.00,12259.80
0000006026,25001,0.00,0.00,325.00
0000006027,00000,0.00,0.00,20353.14
0000006028,00000,0.00,0.00,55326.14
0000006028,08100,40.48,0.00,0.00
0000006029,00000,0.00,0.00,44220.87
0000006029,03200,33.26,0.00,0.00
0000006030,00000,0.00,0.00,10594.50
0000006031,00400,0.00,0.00,14394.97
0000006031,01800,0.00,0.00,1745.55
0000006031,02315,0.00,0.00,4887.54
0000006031,03300,76.11,0.00,476.11
0000006031,05500,0.00,0.00,8087.72
0000006031,06100,0.00,0.00,43056.90
0000006031,06101,0.00,0.00,142511.36
0000006031,07400,0.00,0.00,432.90
0000006031,08200,0.00,0.00,302.56
0000006031,09250,0.00,0.00,30097.94
0000006031,10000,0.00,0.00,1959.67
0000006031,11000,0.00,0.00,15128.10
0000006031,15400,0.00,0.00,11637.00
0000006031,16000,0.00,0.00,9135.05
0000006031,25001,0.00,0.00,598.70
0000006031,25002,0.00,0.00,1492.21
0000006031,25003,0.00,0.00,4674.12
0000006031,25004,0.00,0.00,5874.88
0000006031,25005,0.00,0.00,90607.60
0000006031,25006,0.00,0.00,3524.34
0000006031,25007,0.00,0.00,2343.65
0000006031,25008,0.00,0.00,2777.19
0000006031,25009,0.00,0.00,5993.57
0000006031,25010,0.00,0.00,1706.38
0000006031,25011,0.00,0.00,9920.22
0000006031,25012,0.00,0.00,-4973.84
0000006031,25013,0.00,0.00,4755.98
0000006031,25014,0.00,0.00,2178.48
0000006032,00000,0.00,0.00,5250.00
0000006033,00000,0.00,0.00,3163.28
0000006034,00000,0.00,0.00,1637.12
0000006035,00000,0.00,0.00,369.72
0000006036,00000,0.00,0.00,5737.50
0000006037,00000,0.00,0.00,14412.63
0000006037,03200,3.95,0.00,0.00
0000006038,00000,0.00,0.00,4241.20
0000006039,00000,0.00,0.00,1202.17
0000006040,00000,0.00,0.00,274.75
0000006041,00000,0.00,0.00,9369.95
0000006041,01800,69.73,0.00,0.00
0000006042,00000,0.00,0.00,1789.00
0000006043,00000,0.00,0.00,2143.00
0000006044,00000,0.00,0.00,2576.74
0000006045,00000,0.00,0.00,26000.00
0000006045,06100,145.04,0.00,0.00
0000007001,00000,0.00,0.00,50236.45
0000007001,01800,57.35,0.00,0.00
0000007002,00000,0.00,0.00,3751.68
0000007003,00000,0.00,0.00,27994.52
0000007004,00000,0.00,0.00,626.59
0000007005,00000,0.00,0.00,26230.70
0000007005,01800,22.17,0.00,0.00
0000007006,00000,0.00,0.00,7355.00
0000007008,01800,20.13,0.00,0.00
0000007009,00000,0.00,0.00,12300.00
0000007009,01800,58.22,0.00,0.00
0000007010,00400,1188.10,0.00,8718.10
0000007010,01800,0.00,0.00,575.15
0000007010,02315,0.00,0.00,23926.24
0000007010,02800,0.00,0.00,9129.93
0000007010,03100,0.00,0.00,43213.32
0000007010,03200,0.00,0.00,15108.04
0000007010,03300,0.00,0.00,20682.39
0000007010,05100,0.00,0.00,44631.64
0000007010,05500,0.00,0.00,18813.16
0000007010,06100,0.00,0.00,83860.32
0000007010,06101,0.00,0.00,76527.16
0000007010,06170,0.00,0.00,2285.65
0000007010,06200,0.00,0.00,897.23
0000007010,07100,0.00,0.00,19885.24
0000007010,07400,0.00,0.00,20150.96
0000007010,08100,0.00,0.00,28182.35
0000007010,08500,0.00,0.00,6462.39
0000007010,09300,0.00,0.00,16598.83
0000007010,09900,0.00,0.00,13380.29
