Numéro d'activité,Description de l'activité (francais),Description de l'activité (anglais),Code interne,Numéro de fournisseur,Numéro de G/L Achat,Montant en com. fournisseur,Montant en B/O
16560,Éclairage de balisage,Signal lighting,,,33500,0.00,0.00
16570,Contrôleur d'atténuation d'éclairage,Dimming lighting control,,,33500,0.00,0.00
16580,Accessoires d'éclairage,Lighting accessories,,,33500,0.00,0.00
16590,Restauration et réparation d'éclairage,Lighting restoration and repairs,,,33500,0.00,0.00
16700,Communications,Communications,,,33500,0.00,0.00
16710,Circuits de communications,Communication circuits,,,33500,0.00,0.00
16720,Éq. de téléphonie et d'intercommunication,Telephone and intercommunication equipment,,,33500,0.00,0.00
16740,Éq. de transmission de voix et de données,Communication and data processing equipment,,,33500,0.00,0.00
16770,Éq. de transmission et de réception par câble,Cable transmission and reception equipment,,,33500,0.00,0.00
16780,Éq. de transm.de réception par diffusion,Broadcast transmission and reception equ.,,,33500,0.00,0.00
